epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.544,3.54871,2.17771,3.08424,0.69585,0.6622,0.70811,0.32114,2.72239,1.96765,2.62381,0.00026619,0.00026619,0.0669924
2,216.95,2.86407,1.80403,2.53392,0.70114,0.6605,0.73309,0.32886,2.54467,1.59977,2.32473,0.000519669,0.000519669,0.0339125
3,386.318,2.65618,1.68312,2.31983,0.79913,0.74622,0.81895,0.38165,2.61882,1.51489,2.27845,0.000759947,0.000759947,0.000819471
4,487.895,2.51075,1.57531,2.2024,0.78722,0.80621,0.8485,0.45224,2.3185,1.38085,2.11166,0.0007406,0.0007406,0.0007406
5,800.355,2.45435,1.52277,2.14232,0.76002,0.7826,0.80877,0.44091,2.3016,1.41338,2.0812,0.0007208,0.0007208,0.0007208
6,903.041,2.38637,1.47662,2.0793,0.82238,0.81132,0.87651,0.49826,2.17277,1.3813,1.99695,0.000701,0.000701,0.000701
7,1006.12,2.3681,1.44773,2.05674,0.81606,0.805,0.8739,0.50498,2.20215,1.29319,2.01344,0.0006812,0.0006812,0.0006812
8,1108.54,2.31478,1.41068,2.02622,0.80499,0.82663,0.86591,0.49537,2.17369,1.2456,1.97768,0.0006614,0.0006614,0.0006614
9,1210.81,2.28029,1.37305,2.00051,0.84735,0.79703,0.8828,0.4862,2.20384,1.2737,1.98976,0.0006416,0.0006416,0.0006416
10,1332.02,2.26242,1.34514,1.97643,0.86471,0.82803,0.90236,0.54182,2.11486,1.16803,1.93097,0.0006218,0.0006218,0.0006218
11,1434.68,2.23271,1.31975,1.95701,0.85565,0.8297,0.90102,0.52583,2.14674,1.13379,1.94048,0.000602,0.000602,0.000602
12,1543.36,2.21539,1.30495,1.9425,0.83678,0.8077,0.89139,0.52417,2.15876,1.20889,1.94526,0.0005822,0.0005822,0.0005822
13,1645.41,2.20511,1.29214,1.93489,0.84861,0.83429,0.90249,0.54469,2.09602,1.13144,1.92344,0.0005624,0.0005624,0.0005624
14,1749.21,2.19083,1.27169,1.91743,0.86179,0.82106,0.8985,0.53922,2.148,1.16799,1.94374,0.0005426,0.0005426,0.0005426
15,1931.83,2.18244,1.26693,1.90998,0.86481,0.82599,0.90491,0.55197,2.08182,1.12487,1.88552,0.0005228,0.0005228,0.0005228
16,2037.9,2.15186,1.23956,1.87681,0.87033,0.83429,0.91213,0.56348,2.04512,1.10012,1.85703,0.000503,0.000503,0.000503
17,2172.83,2.13358,1.22396,1.86743,0.86118,0.83925,0.9137,0.5611,2.09066,1.09469,1.87929,0.0004832,0.0004832,0.0004832
18,2275.64,2.1406,1.21886,1.86665,0.84946,0.84769,0.91105,0.56623,2.01817,1.093,1.83801,0.0004634,0.0004634,0.0004634
19,2571.42,2.10903,1.20619,1.85105,0.86405,0.84769,0.91444,0.56675,2.04526,1.06953,1.85444,0.0004436,0.0004436,0.0004436
20,2673.83,2.13082,1.20844,1.85625,0.86297,0.83301,0.90777,0.55786,2.07209,1.11281,1.86922,0.0004238,0.0004238,0.0004238
21,3195.54,2.09565,1.18461,1.83707,0.87728,0.84322,0.91872,0.57027,2.04661,1.05749,1.83467,0.000404,0.000404,0.000404
22,3301.73,2.08783,1.18729,1.83447,0.87608,0.84748,0.91772,0.56258,2.06873,1.06007,1.87155,0.0003842,0.0003842,0.0003842
