epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2875,0.80292,0.66684,0.95005,0.82412,0.79963,0.85713,0.67302,0.99473,4.4354,1.06116,0.000663139,0.000663139,0.000663139
2,64.0781,0.84678,0.69426,0.96656,0.81718,0.7931,0.85344,0.66572,0.98608,4.6966,1.06191,0.00131664,0.00131664,0.00131664
3,94.0782,0.85057,0.71018,0.96387,0.82508,0.79249,0.85054,0.64244,1.10548,3.45276,1.10534,0.00195694,0.00195694,0.00195694
4,123.758,0.86109,0.70163,0.96267,0.8175,0.8096,0.85368,0.67231,0.97801,5.38073,1.06108,0.0019406,0.0019406,0.0019406
5,153.155,0.86812,0.71029,0.97115,0.81241,0.78714,0.83952,0.66175,1.04685,7.59622,1.098,0.0019208,0.0019208,0.0019208
6,183.065,0.85432,0.69864,0.96551,0.81555,0.79632,0.8566,0.66898,1.04396,5.616,1.08015,0.001901,0.001901,0.001901
7,212.807,0.83731,0.69258,0.96363,0.80822,0.79781,0.84365,0.66019,1.03171,5.1233,1.07998,0.0018812,0.0018812,0.0018812
8,245.208,0.86622,0.71571,0.97298,0.82214,0.7787,0.83776,0.64692,1.02467,5.09793,1.08623,0.0018614,0.0018614,0.0018614
9,279.25,0.86431,0.71248,0.9704,0.81519,0.79661,0.84202,0.64738,1.08015,5.47598,1.09264,0.0018416,0.0018416,0.0018416
10,312.989,0.84385,0.69697,0.96169,0.83226,0.77649,0.84487,0.66077,1.01713,4.29068,1.07699,0.0018218,0.0018218,0.0018218
11,346.615,0.82369,0.69476,0.9561,0.81546,0.78263,0.84542,0.64984,1.05661,4.70306,1.08446,0.001802,0.001802,0.001802
12,380.657,0.84437,0.69208,0.96048,0.8104,0.79464,0.8417,0.65511,1.02299,5.68263,1.08621,0.0017822,0.0017822,0.0017822
13,414.567,0.85831,0.69745,0.96686,0.81916,0.79021,0.84892,0.66512,1.00565,5.59412,1.07029,0.0017624,0.0017624,0.0017624
14,448.467,0.81205,0.68509,0.95603,0.81905,0.79232,0.85043,0.66867,1.01657,4.20886,1.07825,0.0017426,0.0017426,0.0017426
15,482.475,0.82505,0.69037,0.95853,0.8276,0.7824,0.85544,0.65034,1.09676,4.92595,1.09485,0.0017228,0.0017228,0.0017228
16,516.309,0.84744,0.69981,0.96539,0.81856,0.79116,0.84598,0.66667,1.00307,6.28293,1.0696,0.001703,0.001703,0.001703
17,550.53,0.85377,0.7063,0.97052,0.80482,0.80379,0.84511,0.65928,1.02023,5.30954,1.07649,0.0016832,0.0016832,0.0016832
18,584.059,0.83039,0.68958,0.96122,0.82646,0.78501,0.84888,0.65788,1.02681,4.44926,1.07498,0.0016634,0.0016634,0.0016634
19,618.196,0.85488,0.69887,0.96592,0.82861,0.78169,0.84223,0.65427,1.04004,4.84017,1.07861,0.0016436,0.0016436,0.0016436
20,651.951,0.82439,0.68713,0.9588,0.80442,0.80157,0.84546,0.66613,1.02308,7.0843,1.07891,0.0016238,0.0016238,0.0016238
21,685.987,0.85588,0.70843,0.96957,0.81428,0.78651,0.83482,0.6544,1.01053,6.31168,1.07218,0.001604,0.001604,0.001604
22,719.621,0.83295,0.68853,0.96306,0.81317,0.79747,0.84864,0.65306,1.01751,6.58713,1.06788,0.0015842,0.0015842,0.0015842
23,753.519,0.82353,0.68111,0.96167,0.82159,0.77655,0.84236,0.66568,0.99714,5.24999,1.0729,0.0015644,0.0015644,0.0015644
24,787.199,0.81915,0.68216,0.95528,0.82515,0.79249,0.85123,0.64644,1.06695,4.69939,1.07346,0.0015446,0.0015446,0.0015446
25,820.985,0.84216,0.69961,0.96097,0.824,0.78634,0.85064,0.67103,1.02468,6.46253,1.0941,0.0015248,0.0015248,0.0015248
26,854.847,0.85115,0.69328,0.95911,0.83226,0.78219,0.848,0.66812,0.99226,5.31114,1.06775,0.001505,0.001505,0.001505
27,888.595,0.81542,0.6737,0.95227,0.81557,0.7988,0.85061,0.66223,1.02351,4.62354,1.0865,0.0014852,0.0014852,0.0014852
28,922.413,0.83645,0.68941,0.95633,0.82719,0.79288,0.85197,0.66994,1.0058,4.76836,1.07248,0.0014654,0.0014654,0.0014654
